questao|linhas|colunas|SQL
1|7|2|"SELECT SB.COD_SUBFUNCAO, SB.NOME_SUBFUNCAO FROM SUBFUNCAO AS SB NATURAL JOIN DETALHAMENTO_FUNCAO AS DF WHERE DF.COD_FUNCAO IN (SELECT F.COD_FUNCAO FROM FUNCAO AS F NATURAL JOIN DETALHAMENTO_FUNCAO AS DF GROUP BY F.COD_FUNCAO ORDER BY COUNT(*) DESC LIMIT 1)"
5|3|2|"SELECT PG.NOME_PROGRAMA_GOVERNO, PG.COD_PROGRAMA_GOVERNO FROM PROGRAMA_GOVERNO AS PG NATURAL JOIN DESPESA_PUBLICA AS DP NATURAL JOIN DETALHAMENTO_FUNCAO AS DF NATURAL JOIN FUNCAO AS F WHERE F.NOME_FUNCAO = "Educação" AND DP.ANO_DESPESA = 2018 GROUP BY COD_PROGRAMA_GOVERNO ORDER BY SUM(DP.VALOR_DESPESA) DESC LIMIT 3"
6|4|3|"SELECT F.NOME_FUNCAO, SF.NOME_SUBFUNCAO, SUM(DP.VALOR_DESPESA) FROM SUBFUNCAO AS SF NATURAL JOIN DETALHAMENTO_FUNCAO AS DF NATURAL JOIN FUNCAO AS F NATURAL JOIN DESPESA_PUBLICA AS DP NATURAL JOIN PROGRAMA_GOVERNO AS PG WHERE DP.ANO_DESPESA = "2018" AND (DP.MES_DESPESA = 7 OR DP.MES_DESPESA = 8 OR DP.MES_DESPESA = 9) AND PG.NOME_PROGRAMA_GOVERNO = "MAIS MEDICOS" GROUP BY F.NOME_FUNCAO, SF.NOME_SUBFUNCAO"
7|5|3|"SELECT O.COD_ORGAO, O.NOME_ORGAO, COUNT(PG.NOME_PROGRAMA_GOVERNO) FROM ORGAO AS O NATURAL JOIN DESPESA_PUBLICA AS DP NATURAL JOIN PROGRAMA_GOVERNO AS PG WHERE DP.VALOR_DESPESA > 0 GROUP BY O.NOME_ORGAO"
8|86|4|"SELECT PG.NOME_PROGRAMA_GOVERNO, SF.NOME_SUBFUNCAO, DP.VALOR_DESPESA, SUM(DP.VALOR_DESPESA) FROM PROGRAMA_GOVERNO AS PG NATURAL JOIN DESPESA_PUBLICA AS DP NATURAL JOIN DETALHAMENTO_FUNCAO AS DF NATURAL JOIN SUBFUNCAO AS SF GROUP BY PG.NOME_PROGRAMA_GOVERNO, DP.VALOR_DESPESA, SF.NOME_SUBFUNCAO"
10|56|5|"SELECT DP.COD_DESPESA, DP.MES_DESPESA, DP.ANO_DESPESA, DP.MODALIDADE_DESPESA, DP.VALOR_DESPESA FROM DESPESA_PUBLICA AS DP NATURAL JOIN ORGAO AS O WHERE O.COD_ORGAO IN (SELECT COD_ORGAO FROM ORGAO NATURAL JOIN DESPESA_PUBLICA ORDER BY VALOR_DESPESA DESC LIMIT 1)"
12|40|2|"SELECT F.NOME_FUNCAO, SF.NOME_SUBFUNCAO FROM FUNCAO AS F NATURAL JOIN SUBFUNCAO AS SF NATURAL JOIN DETALHAMENTO_FUNCAO"
13|42|3|"SELECT DP.MODALIDADE_DESPESA, DP.VALOR_DESPESA, PG.NOME_PROGRAMA_GOVERNO FROM PROGRAMA_GOVERNO AS PG NATURAL JOIN DESPESA_PUBLICA AS DP WHERE MODALIDADE_DESPESA = "Reserva de Contingência" GROUP BY PG.NOME_PROGRAMA_GOVERNO, DP.VALOR_DESPESA"
14|1|2|"SELECT DP.VALOR_DESPESA, O.NOME_ORGAO FROM DESPESA_PUBLICA AS DP NATURAL JOIN ORGAO AS O WHERE O.NOME_ORGAO = "Ministério da Fazenda" GROUP BY DP.VALOR_DESPESA, O.NOME_ORGAO"
15|14|2|"SELECT PG.NOME_PROGRAMA_GOVERNO, DP.VALOR_DESPESA FROM DESPESA_PUBLICA AS DP NATURAL JOIN ORGAO AS O NATURAL JOIN PROGRAMA_GOVERNO AS PG WHERE O.NOME_ORGAO = "Ministério da Saúde" GROUP BY PG.NOME_PROGRAMA_GOVERNO, DP.VALOR_DESPESA"
